stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2052,SHEPHERD DR @ BRENTWOOD DR,,29.754092,-95.410675,,
2053,SHEPHERD DR @ MC DUFFIE ST,,29.755442,-95.409294,,
2054,SHEPHERD DR @ DALLAS ST,,29.756645,-95.408317,,
2055,SHEPHERD DR @ MEMORIAL DR,,29.76222,-95.40885,,
2056,SHEPHERD DR @ DICKSON,,29.76426,-95.40923,,
2057,SHEPHERD DR @ FEAGAN ST,,29.76601,-95.40933,,
2058,SHEPHERD DR @ BLOSSOM ST,,29.76746,-95.40936,,
2059,SHEPHERD DR @ ROSE ST,,29.76891,-95.40939,,
2060,SHEPHERD DR @ WASHINGTON AVE,,29.770343,-95.409416,,
2061,SHEPHERD DR @ CENTER ST,,29.77154,-95.40943,,
2062,SHEPHERD DR @ ELI,,29.77328,-95.40947,,
2063,SHEPHERD DR @ EIGEL,,29.77476,-95.4095,,
2064,SHEPHERD DR @ NOLDA ST,,29.77618,-95.40952,,
2065,WASHINGTON AVE @ PARKER ST,,29.770392,-95.408538,,
2066,WASHINGTON AVE @ PATTERSON ST,,29.77044,-95.40626,,
2067,WASHINGTON AVE @ THOMPSON ST,,29.770242,-95.404273,,
2068,WASHINGTON AVE @ JACKSON HILL ST,,29.76993,-95.40141,,
2069,WASHINGTON AVE @ HEIGHTS BLVD,,29.769362,-95.396441,,
2070,WASHINGTON AVE @ WAGNER ST,,29.76918,-95.39469,,
2071,WASHINGTON AVE @ STUDEMONT ST,,29.768894,-95.392079,,
2072,WASHINGTON AVE @ NATIONAL ST,,29.76865,-95.38843,,
2073,WASHINGTON AVE @ CUSTUS ST,,29.76847,-95.38634,,
2074,WASHINGTON AVE @ BRASHEAR ST,,29.76827,-95.38373,,
2075,WASHINGTON AVE @ TAYLOR ST,,29.768174,-95.381737,,
2076,WASHINGTON AVE @ HENDERSON ST,,29.76789,-95.37893,,
2077,WASHINGTON AVE @ SILVER ST,,29.76771,-95.37727,,
2078,WASHINGTON AVE @ COLORADO,,29.767451,-95.374748,,
2079,PRESTON ST @ ARTESIAN PL,,29.765973,-95.368919,,
2080,WASHINGTON AVE @ PRESTON ST,,29.766592,-95.369743,,
2081,WASHINGTON AVE @ HOUSTON AVE,,29.767309,-95.371933,,
2082,WASHINGTON AVE @ ASH PL,,29.767555,-95.374167,,
2083,WASHINGTON AVE @ SILVER ST,,29.76785,-95.37713,,
2084,WASHINGTON AVE @ HENDERSON ST,,29.76813,-95.37984,,
2085,WASHINGTON AVE @ TAYLOR ST,,29.768309,-95.381539,,
2086,WASHINGTON AVE @ BRASHEAR ST,,29.76842,-95.38375,,
2087,WASHINGTON AVE @ CUSTUS ST,,29.76864,-95.38653,,
2088,WASHINGTON AVE @ NATIONAL ST,,29.76881,-95.38859,,
2089,WASHINGTON AVE @ STUDEMONT ST,,29.769009,-95.391597,,
2090,WASHINGTON AVE @ WAGNER ST,,29.76935,-95.39479,,
2091,WASHINGTON AVE @ HEIGHTS BLVD,,29.769537,-95.396479,,
2092,WASHINGTON AVE @ YALE ST,,29.76981,-95.39906,,
2093,WASHINGTON AVE @ BONNER ST,,29.77014,-95.40209,,
2094,WASHINGTON AVE @ THOMPSON ST,,29.77033,-95.4039,,
2095,WASHINGTON AVE @ PATTERSON ST,,29.770597,-95.406445,,
2096,WASHINGTON AVE @ PARKER ST,,29.770576,-95.408276,,
2097,WASHINGTON AVE @ SHEPHERD DR,,29.770526,-95.409363,,
2098,HEIGHTS BLVD @ 2ND ST,,29.77436,-95.39757,,
2099,HEIGHTS BLVD @ 2ND ST,,29.77279,-95.39752,,
2100,HEIGHTS BLVD @ 2ND ST,,29.7716,-95.39751,,
2101,HEIGHTS BLVD @ CENTER ST,,29.77054,-95.39749,,
2102,HEIGHTS BLVD @ BARNES ST,,29.76877,-95.39726,,
2103,HEIGHTS BLVD @ FEAGAN ST,,29.76664,-95.39742,,
